weekly_self_study_hours,attendance_percentage,class_participation,study_attendance_interaction,engagement_score,total_score
18.5,95.6,3.8,1768.6,49.699999999999996,97.9
14.0,80.0,2.5,1120.0,41.25,83.9
19.5,86.3,5.3,1682.85,45.8,100.0
25.7,70.2,7.0,1804.14,38.6,100.0
13.4,81.9,6.9,1097.46,44.400000000000006,92.0
13.4,65.1,5.0,872.3399999999999,35.05,97.5
26.1,81.8,5.9,2134.98,43.85,100.0
20.4,100.0,4.0,2039.9999999999998,52.0,96.1
11.7,100.0,8.2,1170.0,54.1,69.8
18.8,67.6,6.0,1270.8799999999999,36.8,80.3
11.8,82.3,4.6,971.14,43.449999999999996,66.4
11.7,75.9,7.6,888.03,41.75,72.5
16.7,77.9,2.5,1300.93,40.2,95.2
1.6,92.1,5.7,147.35999999999999,48.9,60.9
2.9,90.7,5.4,263.03,48.050000000000004,52.1
11.1,87.4,3.9,970.14,45.650000000000006,73.5
7.9,85.9,7.7,678.6100000000001,46.800000000000004,63.0
17.2,74.0,8.1,1272.8,41.05,100.0
8.6,100.0,9.0,860.0,54.5,75.4
5.1,91.4,4.5,466.14,47.95,57.9
25.3,89.3,6.4,2259.29,47.85,100.0
13.4,93.5,9.4,1252.9,51.45,79.0
15.5,100.0,8.5,1550.0,54.25,76.3
5.0,74.2,5.0,371.0,39.6,58.7
11.2,96.1,4.9,1076.32,50.5,68.3
15.8,81.1,5.0,1281.3799999999999,43.05,97.2
6.9,73.6,6.1,507.84,39.849999999999994,68.4
17.6,83.9,8.9,1476.6400000000003,46.400000000000006,100.0
10.8,86.2,3.4,930.96,44.800000000000004,63.6
13.0,75.0,5.7,975.0,40.35,89.2
10.8,76.6,5.0,827.28,40.8,77.4
28.0,89.2,6.5,2497.6,47.85,100.0
14.9,68.4,7.2,1019.1600000000001,37.800000000000004,82.6
7.6,93.0,6.2,706.8,49.6,71.9
20.8,85.2,7.7,1772.16,46.45,97.4
6.5,86.4,8.2,561.6,47.300000000000004,61.6
16.5,86.8,4.6,1432.2,45.699999999999996,99.5
1.3,92.9,8.6,120.77000000000001,50.75,50.1
5.7,93.4,8.3,532.38,50.85,56.7
16.4,76.5,2.6,1254.6,39.55,84.0
20.2,85.6,5.6,1729.12,45.599999999999994,100.0
16.2,84.2,7.0,1364.04,45.6,100.0
14.2,76.5,6.1,1086.3,41.3,63.6
12.9,78.7,3.7,1015.23,41.2,100.0
4.7,100.0,3.3,470.0,51.65,55.9
10.0,83.4,7.3,834.0,45.35,89.6
11.8,89.5,3.3,1056.1000000000001,46.4,78.7
22.4,85.9,5.8,1924.16,45.85,90.3
17.4,79.9,7.6,1390.26,43.75,71.0
2.7,77.5,6.4,209.25,41.95,51.1
17.3,93.8,8.8,1622.74,51.3,82.7
12.3,84.6,6.8,1040.58,45.699999999999996,91.0
10.3,90.3,6.0,930.09,48.15,92.7
19.3,77.7,8.2,1499.6100000000001,42.95,100.0
22.2,80.2,4.1,1780.44,42.15,100.0
21.5,84.1,7.7,1808.1499999999999,45.9,100.0
9.1,81.4,5.4,740.74,43.400000000000006,76.9
12.8,83.7,4.9,1071.3600000000001,44.300000000000004,91.9
17.3,99.0,6.9,1712.7,52.95,89.5
21.8,94.7,6.0,2064.46,50.35,100.0
11.6,80.9,2.7,938.44,41.800000000000004,71.2
13.7,89.6,5.5,1227.5199999999998,47.55,81.9
7.3,68.3,6.9,498.59,37.6,67.1
6.6,85.3,3.4,562.9799999999999,44.35,69.9
20.7,85.8,6.8,1776.06,46.3,96.5
24.5,82.0,8.4,2009.0,45.2,100.0
14.5,73.7,7.1,1068.65,40.4,80.4
22.0,85.0,9.7,1870.0,47.35,92.2
17.5,83.1,8.8,1454.25,45.949999999999996,83.6
10.5,91.8,3.8,963.9,47.8,78.8
17.5,82.9,5.2,1450.75,44.050000000000004,93.2
25.8,82.6,7.0,2131.08,44.8,100.0
14.7,70.6,3.8,1037.82,37.199999999999996,84.5
26.0,88.5,9.0,2301.0,48.75,100.0
0.0,86.4,6.8,0.0,46.6,47.4
20.8,81.6,4.4,1697.28,43.0,97.5
15.6,90.1,7.7,1405.56,48.9,90.8
12.9,80.4,6.0,1037.16,43.2,87.7
15.6,100.0,6.1,1560.0,53.05,91.7
1.1,81.4,4.3,89.54000000000002,42.85,54.6
13.5,69.7,5.5,940.95,37.6,81.0
17.5,64.4,6.4,1127.0,35.400000000000006,79.5
25.3,85.0,4.3,2150.5,44.65,100.0
11.4,83.4,8.3,950.7600000000001,45.85,62.3
9.3,69.7,7.5,648.21,38.6,64.9
11.5,84.1,4.5,967.15,44.3,93.3
21.4,100.0,4.6,2140.0,52.3,100.0
17.3,64.7,8.9,1119.3100000000002,36.800000000000004,98.4
11.3,80.9,4.2,914.1700000000001,42.550000000000004,69.2
18.6,80.6,4.4,1499.16,42.5,93.9
15.7,74.6,3.3,1171.2199999999998,38.949999999999996,100.0
