weekly_self_study_hours,attendance_percentage,class_participation,total_score
18.5,95.6,3.8,97.9
14.0,80.0,2.5,83.9
19.5,86.3,5.3,100.0
25.7,70.2,7.0,100.0
13.4,81.9,6.9,92.0
13.4,65.1,5.0,97.5
26.1,81.8,5.9,100.0
20.4,100.0,4.0,96.1
11.7,100.0,8.2,69.8
18.8,67.6,6.0,80.3
11.8,82.3,4.6,66.4
11.7,75.9,7.6,72.5
16.7,77.9,2.5,95.2
1.6,92.1,5.7,60.9
2.9,90.7,5.4,52.1
11.1,87.4,3.9,73.5
7.9,85.9,7.7,63.0
17.2,74.0,8.1,100.0
8.6,100.0,9.0,75.4
5.1,91.4,4.5,57.9
25.3,89.3,6.4,100.0
13.4,93.5,9.4,79.0
15.5,100.0,8.5,76.3
5.0,74.2,5.0,58.7
11.2,96.1,4.9,68.3
15.8,81.1,5.0,97.2
6.9,73.6,6.1,68.4
17.6,83.9,8.9,100.0
10.8,86.2,3.4,63.6
13.0,75.0,5.7,89.2
10.8,76.6,5.0,77.4
28.0,89.2,6.5,100.0
14.9,68.4,7.2,82.6
7.6,93.0,6.2,71.9
20.8,85.2,7.7,97.4
6.5,86.4,8.2,61.6
16.5,86.8,4.6,99.5
1.3,92.9,8.6,50.1
5.7,93.4,8.3,56.7
16.4,76.5,2.6,84.0
20.2,85.6,5.6,100.0
16.2,84.2,7.0,100.0
14.2,76.5,6.1,63.6
12.9,78.7,3.7,100.0
4.7,100.0,3.3,55.9
10.0,83.4,7.3,89.6
11.8,89.5,3.3,78.7
22.4,85.9,5.8,90.3
17.4,79.9,7.6,71.0
2.7,77.5,6.4,51.1
17.3,93.8,8.8,82.7
12.3,84.6,6.8,91.0
10.3,90.3,6.0,92.7
19.3,77.7,8.2,100.0
22.2,80.2,4.1,100.0
21.5,84.1,7.7,100.0
9.1,81.4,5.4,76.9
12.8,83.7,4.9,91.9
17.3,99.0,6.9,89.5
21.8,94.7,6.0,100.0
11.6,80.9,2.7,71.2
13.7,89.6,5.5,81.9
7.3,68.3,6.9,67.1
6.6,85.3,3.4,69.9
20.7,85.8,6.8,96.5
24.5,82.0,8.4,100.0
14.5,73.7,7.1,80.4
22.0,85.0,9.7,92.2
17.5,83.1,8.8,83.6
10.5,91.8,3.8,78.8
17.5,82.9,5.2,93.2
25.8,82.6,7.0,100.0
14.7,70.6,3.8,84.5
26.0,88.5,9.0,100.0
0.0,86.4,6.8,47.4
20.8,81.6,4.4,97.5
15.6,90.1,7.7,90.8
12.9,80.4,6.0,87.7
15.6,100.0,6.1,91.7
1.1,81.4,4.3,54.6
13.5,69.7,5.5,81.0
17.5,64.4,6.4,79.5
25.3,85.0,4.3,100.0
11.4,83.4,8.3,62.3
9.3,69.7,7.5,64.9
11.5,84.1,4.5,93.3
21.4,100.0,4.6,100.0
17.3,64.7,8.9,98.4
11.3,80.9,4.2,69.2
18.6,80.6,4.4,93.9
15.7,74.6,3.3,100.0
21.8,92.7,7.9,100.0
10.1,78.4,4.9,79.7
12.7,95.9,6.3,86.6
12.3,70.9,8.5,72.0
4.8,79.9,4.2,73.6
17.1,76.7,7.6,67.3
16.8,95.7,5.3,73.1
15.0,80.7,6.0,100.0
13.4,91.1,6.0,63.9
5.1,62.6,8.3,72.9
12.1,94.3,2.2,73.4
12.6,73.3,4.5,68.1
9.4,72.5,5.4,86.1
13.9,91.9,9.5,83.0
17.8,74.7,4.6,77.7
28.2,97.9,6.3,100.0
16.2,100.0,5.0,93.6
16.8,81.5,4.9,100.0
14.5,82.3,3.9,100.0
1.6,97.0,5.3,43.5
14.8,75.1,5.5,93.8
15.4,96.3,5.7,78.9
32.2,84.4,4.9,100.0
13.7,93.3,5.3,84.2
17.1,77.8,9.3,100.0
14.8,97.8,5.0,100.0
6.8,70.7,6.4,73.2
23.0,99.6,7.8,100.0
20.3,96.1,7.7,95.4
20.5,79.3,8.2,92.1
8.6,88.4,6.7,76.7
24.8,80.0,6.6,100.0
5.2,87.7,6.9,74.1
19.1,79.9,3.6,74.2
30.3,75.7,1.1,100.0
8.1,88.9,4.5,74.0
11.0,87.0,5.5,72.6
15.7,84.9,6.5,74.8
11.5,83.8,3.1,54.7
4.1,92.4,2.5,50.6
15.5,80.1,6.5,86.8
7.6,77.9,4.6,92.6
18.3,97.3,7.5,97.3
8.6,80.4,6.1,70.6
25.8,77.7,6.9,100.0
9.5,79.3,3.6,81.9
12.7,78.3,10.0,78.7
20.7,100.0,6.1,100.0
6.4,84.1,4.8,54.8
16.6,70.8,7.0,95.0
24.1,86.1,4.2,100.0
3.7,71.7,1.2,58.2
16.3,100.0,5.7,87.9
16.8,100.0,7.8,86.2
20.5,94.3,9.7,86.1
6.3,89.3,5.6,58.9
5.8,69.8,9.7,62.3
18.7,92.8,10.0,100.0
17.1,82.5,5.8,83.5
16.8,74.8,6.2,90.2
17.4,70.0,8.4,94.4
10.2,88.5,7.7,85.4
16.6,81.2,4.8,100.0
17.1,76.4,3.3,100.0
10.0,90.3,5.5,92.4
28.1,100.0,5.5,100.0
18.3,97.0,6.1,79.6
6.7,89.3,4.4,54.8
19.6,78.5,10.0,93.2
8.2,93.6,6.8,72.0
20.5,96.7,5.5,95.8
23.1,93.9,2.1,100.0
9.3,97.0,4.9,75.8
21.7,74.0,4.6,97.4
17.9,78.1,6.8,100.0
20.8,77.4,3.9,100.0
28.3,87.7,3.9,100.0
13.3,83.4,7.8,72.2
9.7,80.5,9.9,72.9
8.8,95.0,7.2,63.2
9.3,88.5,8.7,66.2
14.5,79.3,8.1,75.6
17.4,93.7,6.9,100.0
16.9,84.0,4.5,75.5
20.8,82.0,7.2,89.5
15.1,63.3,4.8,89.2
25.2,88.0,6.0,100.0
13.1,79.1,4.8,92.9
34.0,100.0,0.6,100.0
19.4,94.8,7.4,100.0
9.0,97.2,4.7,84.7
7.5,85.6,8.2,80.1
18.4,100.0,9.4,100.0
13.4,100.0,6.4,75.9
20.0,84.5,3.8,100.0
18.3,89.6,6.7,96.5
14.5,81.9,1.8,97.2
9.1,85.6,5.6,58.2
4.4,86.9,6.1,52.2
11.9,92.4,9.6,70.1
21.0,79.3,6.2,100.0
16.5,100.0,6.9,89.0
6.3,75.7,4.1,44.1
16.2,81.8,4.7,80.5
17.7,89.0,4.9,92.5
8.8,93.2,4.6,65.4
16.1,82.7,6.2,93.9
15.4,68.2,9.3,99.8
7.0,78.7,5.2,53.2
17.5,96.8,8.7,85.9
18.9,82.4,5.8,100.0
22.6,80.2,5.0,100.0
22.4,77.5,5.1,99.4
5.4,78.4,6.4,63.0
8.4,87.1,8.2,70.2
18.6,98.2,1.0,90.5
18.6,93.9,2.5,83.7
18.6,89.0,2.7,98.1
40.0,68.1,6.7,100.0
19.0,88.0,7.3,95.5
22.9,79.5,5.2,100.0
21.7,98.3,7.1,100.0
19.6,82.6,8.7,90.2
12.8,89.1,2.9,87.9
20.3,81.4,7.1,100.0
9.6,82.6,6.0,83.0
13.3,80.9,4.6,97.4
11.6,71.3,1.9,70.6
15.6,85.3,7.6,83.7
31.2,95.1,2.1,100.0
1.9,78.8,10.0,46.4
19.8,83.0,4.6,100.0
3.7,100.0,5.0,63.1
11.7,90.1,9.4,87.4
22.6,73.5,4.8,100.0
15.4,97.2,8.9,65.7
7.5,76.3,6.5,54.2
10.0,65.7,10.0,69.5
19.8,84.4,7.6,100.0
9.9,94.1,4.5,79.0
16.5,99.4,6.7,100.0
15.3,76.5,6.7,81.5
10.4,95.9,6.3,85.8
30.0,81.2,8.1,100.0
19.4,83.3,1.8,100.0
0.8,91.0,4.2,53.0
16.3,70.2,7.5,96.0
10.4,85.9,4.1,81.2
21.0,96.9,8.9,100.0
9.5,81.8,4.9,55.0
14.2,87.3,7.1,81.5
18.5,86.9,4.7,72.7
21.1,88.6,8.5,100.0
6.6,96.5,6.5,55.6
12.7,77.4,10.0,91.1
11.7,89.4,3.1,80.0
10.4,79.9,1.6,71.4
27.4,97.6,6.7,100.0
17.8,78.1,8.5,89.5
6.2,83.9,3.5,74.7
21.4,88.4,6.7,100.0
29.9,90.6,4.3,100.0
22.2,90.5,6.7,94.1
4.4,83.1,6.5,38.9
11.6,81.8,6.0,69.5
23.9,68.3,7.0,100.0
10.0,85.0,4.7,60.4
18.1,74.1,3.5,98.1
20.4,85.1,2.2,100.0
8.5,78.2,7.0,77.7
14.6,66.7,1.1,81.2
0.0,100.0,6.6,57.8
7.8,76.7,5.5,63.8
13.2,74.0,4.4,69.4
6.3,89.9,8.8,68.7
26.4,74.0,9.4,100.0
5.0,83.2,5.5,57.2
11.9,75.7,3.4,69.3
15.9,79.9,1.7,83.5
25.1,83.8,5.4,100.0
4.9,91.8,6.2,69.7
23.1,96.6,8.9,100.0
15.1,72.9,2.0,90.1
8.1,81.6,3.9,78.1
18.2,72.6,7.1,100.0
16.4,82.9,5.9,76.2
10.8,77.5,8.7,69.6
15.5,74.9,6.2,77.6
12.3,74.2,6.9,82.4
15.8,74.8,8.9,89.1
19.6,88.3,6.5,100.0
26.1,100.0,3.9,100.0
6.3,76.6,4.1,43.9
29.9,81.2,5.6,100.0
1.3,82.9,5.5,54.5
13.9,88.5,8.0,62.1
19.1,80.3,4.9,100.0
17.0,92.4,5.7,85.6
10.6,83.8,4.4,80.8
13.5,92.2,7.4,92.4
11.5,89.6,6.3,71.6
10.9,88.2,5.2,74.5
20.9,76.2,8.1,87.5
17.5,92.0,7.0,89.9
10.1,90.0,3.0,80.4
21.3,100.0,6.9,94.9
17.2,77.6,6.7,92.6
20.7,84.6,10.0,95.8
19.4,93.6,6.2,100.0
9.2,89.2,3.9,62.9
11.1,90.4,5.9,81.1
20.2,70.6,4.7,100.0
19.3,91.1,5.8,100.0
14.9,97.7,6.0,87.6
15.8,73.4,8.9,88.1
23.9,86.1,4.9,100.0
10.9,80.5,5.7,77.1
18.8,87.2,4.2,80.0
13.6,97.7,3.5,100.0
13.5,73.9,8.6,90.6
22.7,85.4,9.2,95.9
20.8,84.2,7.3,99.6
20.7,88.8,3.8,100.0
24.1,80.4,4.9,100.0
15.1,100.0,1.8,82.2
19.8,73.4,2.8,100.0
12.8,97.7,8.1,79.8
17.3,85.2,6.6,94.6
14.1,73.8,5.2,84.1
15.7,85.1,7.4,85.3
19.2,74.7,6.4,87.2
9.3,70.9,6.1,80.3
29.6,100.0,6.1,100.0
